,mkt_rf,mkt_rf,mkt_rf,smb,smb,smb,hml,hml,hml,mom,mom,mom
,mean,std,count,mean,std,count,mean,std,count,mean,std,count
regime,,,,,,,,,,,,
0,-9.139456820262556e-05,0.011902243215772653,3277,2.8379615501982127e-06,0.006315188090043264,3277,0.00020631675312786043,0.007794029273801971,3277,0.00018339945071711925,0.01062559826556872,3277
1,0.0008859024728449257,0.005890663527481412,4327,5.350127108851428e-05,0.005208546899863466,4327,7.293737000231077e-05,0.005004379057097563,4327,0.0003354980355904774,0.006170062680905257,4327
2,-0.0005618155619596554,0.027294648956050747,694,-0.0002845821325648405,0.01018512234650631,694,-0.0004910662824207488,0.013685329070279383,694,-0.00044337175792507466,0.018973888205544166,694
