date,adj_close,close,high,low,open,volume,return,volatility
1993-02-12,24.603485107421875,44.59375,44.875,44.59375,44.875,42500,-0.0076495132127955,0.005725660170530366
1993-02-16,23.98278045654297,43.46875,44.46875,43.40625,44.46875,374800,-0.02522775052557813,0.009850158265694615
1993-02-17,23.96554946899414,43.4375,43.53125,43.28125,43.46875,210900,-0.0007189072609633529,0.009767313831501156
1993-02-18,23.94830894470215,43.40625,43.9375,42.8125,43.9375,378100,-0.0007194244604316058,0.008749816957681244
1993-02-19,24.03451156616211,43.5625,43.5625,43.34375,43.40625,34900,0.003599712023038215,0.008697196099958572
1993-02-22,24.120710372924805,43.71875,43.78125,43.5625,43.6875,513600,0.0035868005738881603,0.008936687419965141
1993-02-23,24.10347557067871,43.6875,43.875,43.46875,43.84375,373700,-0.0007147962830593713,0.00891482446488103
1993-02-24,24.413818359375,44.25,44.25,43.71875,43.71875,26300,0.012875536480686733,0.010035827573914021
1993-02-25,24.465564727783203,44.34375,44.375,44.125,44.21875,44500,0.0021186440677967155,0.010056432510486258
1993-02-26,24.50002098083496,44.40625,44.4375,44.1875,44.4375,66200,0.0014094432699083281,0.009896629759650126
1993-03-01,24.431058883666992,44.28125,44.5625,44.21875,44.5625,66500,-0.0028149190710766714,0.009658747966975764
1993-03-02,24.79314422607422,44.9375,44.9375,44.25,44.3125,182400,0.014820042342978068,0.0059192982682286
1993-03-03,24.896581649780277,45.125,45.15625,44.9375,45.0,280100,0.004172461752433909,0.00574579389066875
1993-03-04,24.75864791870117,44.875,45.1875,44.875,45.1875,89500,-0.005540166204986097,0.006341559773417389
1993-03-05,24.689682006835938,44.75,45.125,44.71875,44.9375,40000,-0.0027855153203342198,0.006628723660694983
1993-03-08,25.241418838500977,45.75,45.75,44.84375,44.84375,50800,0.022346368715083775,0.009098122868033487
1993-03-09,25.15519905090332,45.59375,45.6875,45.5,45.65625,169300,-0.003415300546448119,0.009310628878191474
1993-03-10,25.20692253112793,45.6875,45.6875,45.40625,45.59375,194400,0.0020562028786841324,0.008821583760300865
1993-03-11,25.13796043395996,45.5625,45.84375,45.5,45.71875,70900,-0.002735978112175075,0.009021267549166137
1993-03-12,24.87934112548828,45.09375,45.21875,44.8125,45.1875,643600,-0.010288065843621408,0.009927458447286213
1993-03-15,25.00002861022949,45.3125,45.3125,45.0625,45.0625,310800,0.00485100485100487,0.009845891433871325
1993-03-16,25.00002861022949,45.3125,45.4375,45.3125,45.3125,30800,0.0,0.008822164177814106
1993-03-17,24.844844818115234,45.03125,45.25,44.96875,45.25,21800,-0.006206896551724128,0.008998749274744961
1993-03-18,25.00002861022949,45.3125,45.5,45.21875,45.21875,59300,0.006245662734212454,0.008989327674400659
1993-03-19,24.96219253540039,45.03125,45.28125,45.03125,45.28125,66900,-0.006206896551724128,0.009212050875129114
1993-03-22,24.82361221313477,44.78125,44.875,44.5625,44.59375,183400,-0.005551700208188737,0.005317377876909523
1993-03-23,24.875572204589844,44.875,44.9375,44.8125,44.90625,55200,0.002093510118632347,0.005452512036267735
1993-03-24,24.875572204589844,44.875,45.0625,44.59375,44.8125,37200,0.0,0.005337956282091154
1993-03-25,25.03148078918457,45.15625,45.25,44.84375,44.90625,110100,0.0062674094707519945,0.005889573163635534
1993-03-26,24.892900466918945,44.90625,45.15625,44.875,45.125,101500,-0.00553633217993077,0.005197132217805834
1993-03-29,24.99683952331543,45.09375,45.3125,44.9375,44.9375,87100,0.0041753653444676075,0.005125111803540037
1993-03-30,25.06613540649414,45.21875,45.21875,45.09375,45.15625,56000,0.002772002772002846,0.0052274196024670845
1993-03-31,25.04880714416504,45.1875,45.46875,45.1875,45.34375,111600,-0.0006910850034553828,0.004795735137919003
1993-04-01,24.96219253540039,45.03125,45.25,44.9375,45.25,129500,-0.003457814661134151,0.0044403251849329355
1993-04-02,24.442502975463867,44.09375,44.65625,44.09375,44.65625,59400,-0.020818875780707846,0.007696080826323513
1993-04-05,24.56377410888672,44.3125,44.4375,44.1875,44.4375,172200,0.0049610205527994555,0.007884077750817309
1993-04-06,24.49446678161621,44.1875,44.40625,44.0625,44.40625,129700,-0.0028208744710860323,0.007821111176712293
1993-04-07,24.581113815307617,44.34375,44.34375,44.15625,44.25,28000,0.0035360678925036026,0.007975623468975785
1993-04-08,24.54644012451172,44.28125,44.53125,44.09375,44.53125,180800,-0.0014094432699084392,0.007538621986885306
1993-04-12,24.892900466918945,44.90625,44.9375,44.65625,44.71875,348500,0.014114326040931546,0.008927099184789893
1993-04-13,24.944862365722656,45.0,45.15625,44.84375,44.875,146100,0.0020876826722338038,0.008843562636748192
1993-04-14,24.910228729248047,44.9375,45.0625,44.90625,45.03125,119600,-0.001388888888888884,0.00878732638936962
1993-04-15,24.910228729248047,44.9375,45.03125,44.75,44.90625,148600,0.0,0.00878914983325847
1993-04-16,24.910228729248047,44.9375,45.03125,44.875,44.96875,47900,0.0,0.00872852397383038
1993-04-19,24.80628967285156,44.75,45.0625,44.71875,44.9375,157000,-0.004172461752433909,0.005246663372062427
