date,QMJ
1957-07-01,-0.00156591259692
1957-07-02,-0.000483704566979
1957-07-03,0.000868964951013
1957-07-05,0.00197488598157
1957-07-08,0.000965378657571
1957-07-09,-0.000987537640163
1957-07-10,0.00555067696871
1957-07-11,-0.00198591012723
1957-07-12,0.000975434672275
1957-07-15,-0.00165148032234
1957-07-16,0.00370408036355
1957-07-17,0.000265628870816
1957-07-18,0.00439302601941
1957-07-19,0.000253566700845
1957-07-22,-0.000816385542101
1957-07-23,9.01775555948e-05
1957-07-24,-0.00176382609992
1957-07-25,0.00139029776968
1957-07-26,0.00195167954351
1957-07-29,-0.00377614121525
1957-07-30,0.000314727751487
1957-07-31,0.00149255337549
1957-08-01,0.00195135823086
1957-08-02,0.00231957183716
1957-08-05,-0.00209302025792
1957-08-06,-0.000316966125221
1957-08-07,-2.00573493983e-05
1957-08-08,0.00163832534591
1957-08-09,-0.00150046555867
1957-08-12,0.00367404867239
1957-08-13,0.000867594974468
1957-08-14,-0.000716579144513
1957-08-15,-0.000676903242667
1957-08-16,0.00044318293652
1957-08-19,-0.000882797634197
1957-08-20,6.18423286256e-05
1957-08-21,0.000345384746817
1957-08-22,0.000283566894998
1957-08-23,0.00140475845189
1957-08-26,0.000806802350438
1957-08-27,-0.000576344456298
1957-08-28,-0.00147342092687
1957-08-29,-0.000787650983456
1957-08-30,8.67244189745e-05
1957-09-03,0.00210953897926
1957-09-04,0.00170383267869
1957-09-05,-0.00112421591672
1957-09-06,-0.000294798536451
1957-09-09,0.00145374193564
1957-09-10,-0.000774399596091
1957-09-11,-0.00222149711722
1957-09-12,0.00145784586862
1957-09-13,0.00206895147101
1957-09-16,0.0024700085386
1957-09-17,0.000335254111251
1957-09-18,0.000871303877986
1957-09-19,-0.00041943136623
1957-09-20,-0.000300506374748
1957-09-23,-3.67834800071e-05
1957-09-24,0.00210617832975
1957-09-25,0.00144426533118
1957-09-26,0.00101667762279
1957-09-27,-0.00373394526133
1957-09-30,-0.00101838869436
1957-10-01,0.000582654151014
1957-10-02,-0.000532666780284
1957-10-03,0.00139608975242
1957-10-04,-0.00296975466671
1957-10-07,-0.00661595868238
1957-10-08,0.000280152986672
1957-10-09,0.00335898477848
1957-10-10,0.00391818421201
1957-10-11,-0.00340282674294
1957-10-14,-0.00324472890665
1957-10-15,0.00106818402345
1957-10-16,0.000992294374846
1957-10-17,-0.000120496313048
1957-10-18,0.000253312946095
1957-10-21,0.00647536163709
1957-10-22,0.00256205286223
1957-10-23,-0.00550166461756
1957-10-24,-0.00092825393218
1957-10-25,0.0022352368749
1957-10-28,0.00374264877
1957-10-29,0.00200241847852
1957-10-30,-0.00206479025178
1957-10-31,-0.000654711392317
1957-11-01,-0.00363474714444
1957-11-04,0.00197668970761
1957-11-06,-0.00410890857642
1957-11-07,-0.00224066298432
1957-11-08,0.00216048750772
1957-11-11,0.000239482266264
1957-11-12,-0.000657218834561
1957-11-13,0.00249619757181
1957-11-14,-0.00265763526075
1957-11-15,-0.00309322803782
1957-11-18,0.00525973559177
1957-11-19,0.00277966038417
1957-11-20,0.00350695006107
1957-11-21,-0.00268986684161
1957-11-22,-0.000400940616199
1957-11-25,-0.00258882571512
1957-11-26,0.00575062861278
1957-11-27,-0.00473800027573
1957-11-29,-0.00627333271704
1957-12-02,0.00405703467651
1957-12-03,-0.00137971516457
1957-12-04,-0.00247214338528
1957-12-05,-0.00123737846672
1957-12-06,0.00251124390834
1957-12-09,0.00234777156129
1957-12-10,-0.00228761792342
1957-12-11,-0.00137153657152
1957-12-12,-0.00152358003745
1957-12-13,-0.00151014590251
1957-12-16,-0.00223162154761
1957-12-17,0.000836860187444
1957-12-18,-0.00316564080777
1957-12-19,-0.00238105559456
1957-12-20,0.00298219654864
1957-12-23,0.00266314991396
1957-12-24,-0.00119269291412
1957-12-26,0.00141107584203
1957-12-27,0.00149817505202
1957-12-30,0.00230674937058
1957-12-31,-0.00308902237016
1958-01-02,-0.0054931809866
1958-01-03,-0.00707491897695
1958-01-06,-0.00382302712462
1958-01-07,-0.00299577613946
1958-01-08,-0.000210137378302
1958-01-09,-0.000531481422232
1958-01-10,0.00210797846474
1958-01-13,-0.00457831063571
1958-01-14,-0.00017034621029
1958-01-15,-0.000697245316857
1958-01-16,0.00130250140395
1958-01-17,-0.0017625801669
1958-01-20,0.00195306820648
1958-01-21,-0.00102377529967
1958-01-22,-0.000376753083851
1958-01-23,-0.00205960900606
1958-01-24,-0.000792707938341
1958-01-27,-0.00164411203293
1958-01-28,0.00129297523334
1958-01-29,-0.000593252481391
1958-01-30,0.000916688965808
1958-01-31,0.000845632904697
1958-02-03,0.00123923080864
1958-02-04,0.0039094298051
1958-02-05,-0.00101662334425
1958-02-06,-0.00092344542967
1958-02-07,-0.00112780681922
1958-02-10,-0.00248962389821
1958-02-11,-0.00291030765237
1958-02-12,0.000643639380333
1958-02-13,0.00283515173121
1958-02-14,0.000768972468949
1958-02-17,-0.00142411980143
1958-02-18,0.00130496493961
1958-02-19,0.00305728678834
1958-02-20,0.000915900955776
1958-02-21,-0.000195244281718
1958-02-24,0.000526908731361
1958-02-25,-0.00210031194945
1958-02-26,-0.00210280247655
1958-02-27,0.00219739244196
1958-02-28,0.00178699770411
1958-03-03,0.00682132108804
1958-03-04,0.00191029279534
1958-03-05,-0.00114436892643
1958-03-06,-0.000628267451316
1958-03-07,-0.000572341099092
1958-03-10,-0.001522802156
1958-03-11,0.00240770649003
1958-03-12,0.00271805862751
1958-03-13,0.00145949666409
1958-03-14,0.0031312415171
1958-03-17,-0.00247792093961
1958-03-18,0.00276461968092
1958-03-19,0.00119585398357
1958-03-20,-0.000130066163798
1958-03-21,-0.0012066208762
1958-03-24,-9.49041723161e-05
1958-03-25,0.00146295810879
1958-03-26,-0.00144025078655
1958-03-27,0.000483806217056
1958-03-28,0.000797097906717
1958-03-31,-4.69729109083e-07
1958-04-01,0.00215689171884
1958-04-02,0.00441209649388
1958-04-03,-0.000388768793571
1958-04-07,-0.00157527372801
1958-04-08,-0.00446210056702
1958-04-09,-0.00104258045404
1958-04-10,-0.000633761133663
1958-04-11,0.00142976033399
1958-04-14,4.35261368671e-06
1958-04-15,0.000486746504651
1958-04-16,-0.00176604367072
1958-04-17,0.000168496816119
1958-04-18,-0.000548464906453
1958-04-21,-0.00300381164502
1958-04-22,0.000895302495268
1958-04-23,0.00114973697424
1958-04-24,-0.0015805667593
1958-04-25,0.00573385363224
1958-04-28,0.000521937566892
1958-04-29,-0.00203887376951
1958-04-30,0.00262345493549
1958-05-01,-0.000816304896246
1958-05-02,-0.000396442191139
1958-05-05,-0.001334796195
1958-05-06,-0.000984606435993
1958-05-07,-0.00132366993836
1958-05-08,-0.00148501364443
1958-05-09,-0.00322088732072
1958-05-12,0.00234695160732
1958-05-13,-0.00182018277445
1958-05-14,0.00156845889601
1958-05-15,-0.000772139288441
1958-05-16,-0.00065635612162
1958-05-19,-0.00190151107453
1958-05-20,0.000974455595106
1958-05-21,-0.00166436389146
1958-05-22,-0.000490140458044
1958-05-23,-0.00139681458334
1958-05-26,0.000686188636889
1958-05-27,-0.00184148249372
1958-05-28,0.000198240851199
1958-05-29,-0.000907265750409
1958-06-02,-0.000901268083778
1958-06-03,0.000593944390628
1958-06-04,-0.00203901090689
1958-06-05,-0.00151386363599
1958-06-06,0.00175289258088
1958-06-09,-0.00108160289914
1958-06-10,0.00186414030743
1958-06-11,0.00185080449738
1958-06-12,-0.000651248951863
1958-06-13,0.00369881856783
1958-06-16,0.00163630691358
1958-06-17,0.000172263032378
1958-06-18,-0.000612438368405
1958-06-19,0.00278745676423
1958-06-20,0.00117350857032
1958-06-23,-0.0019130686582
1958-06-24,-0.0013018458001
1958-06-25,-0.00136042242915
1958-06-26,0.000191064649978
1958-06-27,0.000402609577541
1958-06-30,0.00104116053603
1958-07-01,0.00218252801422
1958-07-02,0.000298341497378
1958-07-03,0.00111316339568
1958-07-07,-0.000408333156605
1958-07-08,-0.000331051216451
1958-07-09,-0.000193400446331
1958-07-10,-0.0019617254595
1958-07-11,-0.000619400771785
1958-07-14,3.89947195208e-05
1958-07-15,-0.000702543313965
1958-07-16,-0.000224309161161
1958-07-17,-0.0028182767579
